iShares Global Energy ETF,,,,,,,,,,,,,,,,,
Fund Holdings as of,14-Jul-20,,,,,,,,,,,,,,,,
Inception Date,12-Nov-01,,,,,,,,,,,,,,,,
Shares Outstanding,"43,050,000.00",,,,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
TEN,TENARIS SA,Energy,Equity,"1,800,791.99",0.22,"1,800,791.99","279,929.00",S75385153,LU0156801721,7538515,6.43,Italy,Borsa Italiana,USD,0.88,-,EUR
EC,ECOPETROL ADR REPRESENTING SA,Energy,Equity,"1,752,306.39",0.21,"1,752,306.39","147,129.00",279158109,US2791581091,B3D6J19,11.91,Colombia,New York Stock Exchange Inc.,USD,1,-,USD
UGP,ULTRAPAR PARTICIPACOES ADR REPRESE,Energy,Equity,"1,638,169.28",0.2,"1,638,169.28","465,389.00",90400P101,US90400P1012,2496890,3.52,Brazil,New York Stock Exchange Inc.,USD,1,-,USD
EUR,EUR CASH,Cash and/or Derivatives,Cash,"1,046,439.87",0.13,"1,046,439.87","918,091.00",-,-,-,113.98,European Union,-,USD,0.88,-,EUR
CAD,CAD CASH,Cash and/or Derivatives,Cash,"524,319.33",0.06,"524,319.33","713,966.00",-,-,-,73.44,Canada,-,USD,1.36,-,CAD
HKD,HKD CASH,Cash and/or Derivatives,Cash,"490,880.64",0.06,"490,880.64","3,804,570.00",-,-,-,12.9,Hong Kong,-,USD,7.75,-,HKD
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives,Money Market,"460,000.00",0.06,"460,000.00","460,000.00",66922477,US0669224778,-,1,United States,-,USD,1,-,USD
-,REPSOL SA,Energy,Equity,"447,084.68",0.05,"447,084.68","49,117.00",-,ES0173516180,BMY37M9,9.1,Spain,Bolsa De Madrid,USD,0.88,-,EUR
HBCFT,CASH COLLATERAL USD HBCFT,Cash and/or Derivatives,Cash Collateral and Margins,"431,000.00",0.05,"431,000.00","431,000.00",-,-,-,100,United Kingdom,-,USD,1,31-Dec-49,USD
JPY,JPY CASH,Cash and/or Derivatives,Cash,"235,323.06",0.03,"235,323.06","25,239,575.00",-,-,-,0.93,Japan,-,USD,107.26,-,JPY
GBP,GBP CASH,Cash and/or Derivatives,Cash,"223,885.78",0.03,"223,885.78","178,694.00",-,-,-,125.29,United Kingdom,-,USD,0.8,-,GBP
HBCFT,CASH COLLATERAL GBP HBCFT,Cash and/or Derivatives,Cash Collateral and Margins,"76,426.90",0.01,"76,426.90","61,000.00",-,-,-,125.29,United Kingdom,-,USD,0.8,-,GBP
NOK,NOK CASH,Cash and/or Derivatives,Cash,"24,128.33",0,"24,128.33","226,835.00",-,-,-,10.64,Norway,-,USD,9.4,-,NOK
AUD,AUD CASH,Cash and/or Derivatives,Cash,"21,674.04",0,"21,674.04","31,112.00",-,-,-,69.67,Australia,-,USD,1.44,-,AUD
-,TOTAL SA COUPON RIGHTS,Energy,Equity,17.03,0,17.03,"1,494,079.00",-,FR0013517257,BMVBCV0,0,France,-,USD,0.88,23-Jul-20,EUR
-,OCCIDENTAL PETROLEUM CORP,Energy,Equity,0.68,0,0.68,"68,142.00",-,-,9926554,0,United States,New York Stock Exchange Inc.,USD,1,2-Jul-27,USD
Z U0,FTSE 100 INDEX SEP 20,Cash and/or Derivatives,Futures,0,0,"461,418.01",6,-,GB00HBBG0L85,-,"7,690.28",-,IFLL,USD,0.8,18-Sep-20,GBP
IXPU0,EMINI ENERGY SELECT SECTOR SEP 20,Cash and/or Derivatives,Futures,0,0,"2,347,320.00",62,-,-,-,378.6,-,Chicago Mercantile Exchange,USD,1,18-Sep-20,USD
EUR,EUR/USD,Cash and/or Derivatives,FX,-4.76,0,-4.76,"280,148.00",-,-,-,1,United States,-,USD,0.88,16-Jul-20,USD
HKD,HKD/USD,Cash and/or Derivatives,FX,-3.19,0,-3.19,"-2,457,612.00",-,-,-,1,United States,-,USD,7.75,16-Jul-20,USD
CAD,CAD/USD,Cash and/or Derivatives,FX,-1.53,0,-1.53,"-233,836.00",-,-,-,1,United States,-,USD,1.36,16-Jul-20,USD
JPY,JPY/USD,Cash and/or Derivatives,FX,-0.24,0,-0.24,"-2,610,267.00",-,-,-,1,United States,-,USD,107.26,16-Jul-20,USD
JPY,JPY/USD,Cash and/or Derivatives,FX,10.8,0,10.8,"-2,388,341.00",-,-,-,1,United States,-,USD,107.26,16-Jul-20,USD
USD,USD CASH,Cash and/or Derivatives,Cash,"-589,529.17",-0.07,"-589,529.17","-589,529.00",-,-,-,100,United States,-,USD,1,-,USD
 ,,,,,,,,,,,,,,,,,
